team,season,conference,flag
Coastal Carolina,2016,FCS/Big South,verify exact transition year
Coastal Carolina,2017,Sun Belt,verify exact transition year
Coastal Carolina,2018,Sun Belt,verify exact transition year
Coastal Carolina,2019,Sun Belt,verify exact transition year
Coastal Carolina,2020,Sun Belt,verify exact transition year
Coastal Carolina,2021,Sun Belt,verify exact transition year
Coastal Carolina,2022,Sun Belt,verify exact transition year
Coastal Carolina,2023,Sun Belt,verify exact transition year
Coastal Carolina,2024,Sun Belt,verify exact transition year
Coastal Carolina,2025,Sun Belt,verify exact transition year
Colorado,2014,Pac-12,
Colorado,2015,Pac-12,
Colorado,2016,Pac-12,
Colorado,2017,Pac-12,
Colorado,2018,Pac-12,
Colorado,2019,Pac-12,
Colorado,2020,Pac-12,
Colorado,2021,Pac-12,
Colorado,2022,Pac-12,
Colorado,2023,Pac-12,
Colorado,2024,Big 12,
Colorado,2025,Big 12,
Florida,2014,SEC,
Florida,2015,SEC,
Florida,2016,SEC,
Florida,2017,SEC,
Florida,2018,SEC,
Florida,2019,SEC,
Florida,2020,SEC,
Florida,2021,SEC,
Florida,2022,SEC,
Florida,2023,SEC,
Florida,2024,SEC,
Florida,2025,SEC,
Florida State,2014,ACC,
Florida State,2015,ACC,
Florida State,2016,ACC,
Florida State,2017,ACC,
Florida State,2018,ACC,
Florida State,2019,ACC,
Florida State,2020,ACC,
Florida State,2021,ACC,
Florida State,2022,ACC,
Florida State,2023,ACC,
Florida State,2024,ACC,
Florida State,2025,ACC,
Fresno State,2014,Mountain West,
Fresno State,2015,Mountain West,
Fresno State,2016,Mountain West,
Fresno State,2017,Mountain West,
Fresno State,2018,Mountain West,
Fresno State,2019,Mountain West,
Fresno State,2020,Mountain West,
Fresno State,2021,Mountain West,
Fresno State,2022,Mountain West,
Fresno State,2023,Mountain West,
Fresno State,2024,Mountain West,
Fresno State,2025,Mountain West,
Georgia,2014,SEC,
Georgia,2015,SEC,
Georgia,2016,SEC,
Georgia,2017,SEC,
Georgia,2018,SEC,
Georgia,2019,SEC,
Georgia,2020,SEC,
Georgia,2021,SEC,
Georgia,2022,SEC,
Georgia,2023,SEC,
Georgia,2024,SEC,
Georgia,2025,SEC,
Georgia Tech,2014,ACC,
Georgia Tech,2015,ACC,
Georgia Tech,2016,ACC,
Georgia Tech,2017,ACC,
Georgia Tech,2018,ACC,
Georgia Tech,2019,ACC,
Georgia Tech,2020,ACC,
Georgia Tech,2021,ACC,
Georgia Tech,2022,ACC,
Georgia Tech,2023,ACC,
Georgia Tech,2024,ACC,
Georgia Tech,2025,ACC,
Houston,2014,American,
Houston,2015,American,
Houston,2016,American,
Houston,2017,American,
Houston,2018,American,
Houston,2019,American,
Houston,2020,American,
Houston,2021,American,
Houston,2022,American,
Houston,2023,Big 12,
Houston,2024,Big 12,
Houston,2025,Big 12,
Illinois,2014,Big Ten,
Illinois,2015,Big Ten,
Illinois,2016,Big Ten,
Illinois,2017,Big Ten,
Illinois,2018,Big Ten,
Illinois,2019,Big Ten,
Illinois,2020,Big Ten,
Illinois,2021,Big Ten,
Illinois,2022,Big Ten,
Illinois,2023,Big Ten,
Illinois,2024,Big Ten,
Illinois,2025,Big Ten,
Indiana,2014,Big Ten,
Indiana,2015,Big Ten,
Indiana,2016,Big Ten,
Indiana,2017,Big Ten,
Indiana,2018,Big Ten,
Indiana,2019,Big Ten,
Indiana,2020,Big Ten,
Indiana,2021,Big Ten,
Indiana,2022,Big Ten,
Indiana,2023,Big Ten,
Indiana,2024,Big Ten,
Indiana,2025,Big Ten,
Iowa,2014,Big Ten,
Iowa,2015,Big Ten,
Iowa,2016,Big Ten,
Iowa,2017,Big Ten,
Iowa,2018,Big Ten,
Iowa,2019,Big Ten,
Iowa,2020,Big Ten,
Iowa,2021,Big Ten,
Iowa,2022,Big Ten,
Iowa,2023,Big Ten,
Iowa,2024,Big Ten,
Iowa,2025,Big Ten,
Iowa State,2014,Big 12,
Iowa State,2015,Big 12,
Iowa State,2016,Big 12,
Iowa State,2017,Big 12,
Iowa State,2018,Big 12,
Iowa State,2019,Big 12,
Iowa State,2020,Big 12,
Iowa State,2021,Big 12,
Iowa State,2022,Big 12,
Iowa State,2023,Big 12,
Iowa State,2024,Big 12,
Iowa State,2025,Big 12,
James Madison,2014,FCS/CAA,verify exact transition year
James Madison,2015,FCS/CAA,verify exact transition year
James Madison,2016,FCS/CAA,verify exact transition year
James Madison,2017,FCS/CAA,verify exact transition year
James Madison,2018,FCS/CAA,verify exact transition year
James Madison,2019,FCS/CAA,verify exact transition year
James Madison,2020,FCS/CAA,verify exact transition year
James Madison,2021,FCS/CAA,verify exact transition year
James Madison,2022,Sun Belt,verify exact transition year
James Madison,2023,Sun Belt,verify exact transition year
James Madison,2024,Sun Belt,verify exact transition year
James Madison,2025,Sun Belt,verify exact transition year
Kansas,2014,Big 12,
Kansas,2015,Big 12,
Kansas,2016,Big 12,
Kansas,2017,Big 12,
Kansas,2018,Big 12,
Kansas,2019,Big 12,
Kansas,2020,Big 12,
Kansas,2021,Big 12,
Kansas,2022,Big 12,
Kansas,2023,Big 12,
Kansas,2024,Big 12,
Kansas,2025,Big 12,
Kansas State,2014,Big 12,
Kansas State,2015,Big 12,
Kansas State,2016,Big 12,
Kansas State,2017,Big 12,
Kansas State,2018,Big 12,
Kansas State,2019,Big 12,
Kansas State,2020,Big 12,
Kansas State,2021,Big 12,
Kansas State,2022,Big 12,
Kansas State,2023,Big 12,
Kansas State,2024,Big 12,
Kansas State,2025,Big 12,
Kentucky,2014,SEC,
Kentucky,2015,SEC,
Kentucky,2016,SEC,
Kentucky,2017,SEC,
Kentucky,2018,SEC,
Kentucky,2019,SEC,
Kentucky,2020,SEC,
Kentucky,2021,SEC,
Kentucky,2022,SEC,
Kentucky,2023,SEC,
Kentucky,2024,SEC,
Kentucky,2025,SEC,
LSU,2014,SEC,
LSU,2015,SEC,
LSU,2016,SEC,
LSU,2017,SEC,
LSU,2018,SEC,
LSU,2019,SEC,
LSU,2020,SEC,
LSU,2021,SEC,
LSU,2022,SEC,
LSU,2023,SEC,
LSU,2024,SEC,
LSU,2025,SEC,
Liberty,2014,FCS/Big South,verify exact transition year
Liberty,2015,FCS/Big South,verify exact transition year
Liberty,2016,FCS/Big South,verify exact transition year
Liberty,2017,FCS/Big South,verify exact transition year
Liberty,2018,Independent,verify exact transition year
Liberty,2019,Independent,verify exact transition year
Liberty,2020,Independent,verify exact transition year
Liberty,2021,Independent,verify exact transition year
Liberty,2022,Independent,verify exact transition year
Liberty,2023,Conference USA,verify exact transition year
Liberty,2024,Conference USA,verify exact transition year
Liberty,2025,Conference USA,verify exact transition year
Louisiana,2014,Sun Belt,
Louisiana,2015,Sun Belt,
Louisiana,2016,Sun Belt,
Louisiana,2017,Sun Belt,
Louisiana,2018,Sun Belt,
Louisiana,2019,Sun Belt,
Louisiana,2020,Sun Belt,
Louisiana,2021,Sun Belt,
Louisiana,2022,Sun Belt,
Louisiana,2023,Sun Belt,
Louisiana,2024,Sun Belt,
Louisiana,2025,Sun Belt,
Louisville,2014,ACC,
Louisville,2015,ACC,
Louisville,2016,ACC,
Louisville,2017,ACC,
Louisville,2018,ACC,
Louisville,2019,ACC,
Louisville,2020,ACC,
Louisville,2021,ACC,
Louisville,2022,ACC,
Louisville,2023,ACC,
Louisville,2024,ACC,
Louisville,2025,ACC,
Marshall,2014,Conference USA,
Marshall,2015,Conference USA,
Marshall,2016,Conference USA,
Marshall,2017,Conference USA,
Marshall,2018,Conference USA,
Marshall,2019,Conference USA,
Marshall,2020,Conference USA,
Marshall,2021,Conference USA,
Marshall,2022,Conference USA,
Marshall,2023,Sun Belt,
Marshall,2024,Sun Belt,
Marshall,2025,Sun Belt,
Memphis,2014,American,
Memphis,2015,American,
Memphis,2016,American,
Memphis,2017,American,
Memphis,2018,American,
Memphis,2019,American,
Memphis,2020,American,
Memphis,2021,American,
Memphis,2022,American,
Memphis,2023,American,
Memphis,2024,American,
Memphis,2025,American,
Miami (FL),2014,ACC,
Miami (FL),2015,ACC,
Miami (FL),2016,ACC,
Miami (FL),2017,ACC,
Miami (FL),2018,ACC,
Miami (FL),2019,ACC,
Miami (FL),2020,ACC,
Miami (FL),2021,ACC,
Miami (FL),2022,ACC,
Miami (FL),2023,ACC,
Miami (FL),2024,ACC,
Miami (FL),2025,ACC,
Michigan,2014,Big Ten,
Michigan,2015,Big Ten,
Michigan,2016,Big Ten,
Michigan,2017,Big Ten,
Michigan,2018,Big Ten,
Michigan,2019,Big Ten,
Michigan,2020,Big Ten,
Michigan,2021,Big Ten,
Michigan,2022,Big Ten,
Michigan,2023,Big Ten,
Michigan,2024,Big Ten,
Michigan,2025,Big Ten,
Michigan State,2014,Big Ten,
Michigan State,2015,Big Ten,
Michigan State,2016,Big Ten,
Michigan State,2017,Big Ten,
Michigan State,2018,Big Ten,
Michigan State,2019,Big Ten,
Michigan State,2020,Big Ten,
Michigan State,2021,Big Ten,
Michigan State,2022,Big Ten,
Michigan State,2023,Big Ten,
Michigan State,2024,Big Ten,
Michigan State,2025,Big Ten,
Minnesota,2014,Big Ten,
Minnesota,2015,Big Ten,
Minnesota,2016,Big Ten,
Minnesota,2017,Big Ten,
Minnesota,2018,Big Ten,
Minnesota,2019,Big Ten,
Minnesota,2020,Big Ten,
Minnesota,2021,Big Ten,
Minnesota,2022,Big Ten,
Minnesota,2023,Big Ten,
Minnesota,2024,Big Ten,
Minnesota,2025,Big Ten,
Mississippi State,2014,SEC,
Mississippi State,2015,SEC,
Mississippi State,2016,SEC,
Mississippi State,2017,SEC,
Mississippi State,2018,SEC,
Mississippi State,2019,SEC,
Mississippi State,2020,SEC,
Mississippi State,2021,SEC,
Mississippi State,2022,SEC,
Mississippi State,2023,SEC,
Mississippi State,2024,SEC,
Mississippi State,2025,SEC,
Missouri,2014,SEC,
Missouri,2015,SEC,
Missouri,2016,SEC,
Missouri,2017,SEC,
Missouri,2018,SEC,
Missouri,2019,SEC,
Missouri,2020,SEC,
Missouri,2021,SEC,
Missouri,2022,SEC,
Missouri,2023,SEC,
Missouri,2024,SEC,
Missouri,2025,SEC,
NC State,2014,ACC,
NC State,2015,ACC,
NC State,2016,ACC,
NC State,2017,ACC,
NC State,2018,ACC,
NC State,2019,ACC,
NC State,2020,ACC,
NC State,2021,ACC,
NC State,2022,ACC,
NC State,2023,ACC,
NC State,2024,ACC,
NC State,2025,ACC,
Navy,2014,Independent,
Navy,2015,American,
Navy,2016,American,
Navy,2017,American,
Navy,2018,American,
Navy,2019,American,
Navy,2020,American,
Navy,2021,American,
Navy,2022,American,
Navy,2023,American,
Navy,2024,American,
Navy,2025,American,
Nebraska,2014,Big Ten,
Nebraska,2015,Big Ten,
Nebraska,2016,Big Ten,
Nebraska,2017,Big Ten,
Nebraska,2018,Big Ten,
Nebraska,2019,Big Ten,
Nebraska,2020,Big Ten,
Nebraska,2021,Big Ten,
Nebraska,2022,Big Ten,
Nebraska,2023,Big Ten,
Nebraska,2024,Big Ten,
Nebraska,2025,Big Ten,
North Carolina,2014,ACC,
North Carolina,2015,ACC,
North Carolina,2016,ACC,
North Carolina,2017,ACC,
North Carolina,2018,ACC,
North Carolina,2019,ACC,
North Carolina,2020,ACC,
North Carolina,2021,ACC,
North Carolina,2022,ACC,
North Carolina,2023,ACC,
North Carolina,2024,ACC,
North Carolina,2025,ACC,
North Texas,2014,Conference USA,
North Texas,2015,Conference USA,
North Texas,2016,Conference USA,
North Texas,2017,Conference USA,
North Texas,2018,Conference USA,
North Texas,2019,Conference USA,
North Texas,2020,Conference USA,
North Texas,2021,Conference USA,
North Texas,2022,Conference USA,
North Texas,2023,American,
North Texas,2024,American,
North Texas,2025,American,
Northwestern,2014,Big Ten,
Northwestern,2015,Big Ten,
Northwestern,2016,Big Ten,
Northwestern,2017,Big Ten,
Northwestern,2018,Big Ten,
Northwestern,2019,Big Ten,
Northwestern,2020,Big Ten,
Northwestern,2021,Big Ten,
Northwestern,2022,Big Ten,
Northwestern,2023,Big Ten,
Northwestern,2024,Big Ten,
Northwestern,2025,Big Ten,
Notre Dame,2014,Independent,
Notre Dame,2015,Independent,
Notre Dame,2016,Independent,
Notre Dame,2017,Independent,
Notre Dame,2018,Independent,
Notre Dame,2019,Independent,
Notre Dame,2020,Independent,
Notre Dame,2021,Independent,
Notre Dame,2022,Independent,
Notre Dame,2023,Independent,
Notre Dame,2024,Independent,
Notre Dame,2025,Independent,
Ohio State,2014,Big Ten,
Ohio State,2015,Big Ten,
Ohio State,2016,Big Ten,
Ohio State,2017,Big Ten,
Ohio State,2018,Big Ten,
Ohio State,2019,Big Ten,
Ohio State,2020,Big Ten,
Ohio State,2021,Big Ten,
Ohio State,2022,Big Ten,
Ohio State,2023,Big Ten,
Ohio State,2024,Big Ten,
Ohio State,2025,Big Ten,
Oklahoma,2014,Big 12,
Oklahoma,2015,Big 12,
Oklahoma,2016,Big 12,
Oklahoma,2017,Big 12,
Oklahoma,2018,Big 12,
Oklahoma,2019,Big 12,
Oklahoma,2020,Big 12,
Oklahoma,2021,Big 12,
Oklahoma,2022,Big 12,
Oklahoma,2023,Big 12,
Oklahoma,2024,SEC,
Oklahoma,2025,SEC,
Oklahoma State,2014,Big 12,
Oklahoma State,2015,Big 12,
Oklahoma State,2016,Big 12,
Oklahoma State,2017,Big 12,
Oklahoma State,2018,Big 12,
Oklahoma State,2019,Big 12,
Oklahoma State,2020,Big 12,
Oklahoma State,2021,Big 12,
Oklahoma State,2022,Big 12,
Oklahoma State,2023,Big 12,
Oklahoma State,2024,Big 12,
Oklahoma State,2025,Big 12,
Ole Miss,2014,SEC,
Ole Miss,2015,SEC,
Ole Miss,2016,SEC,
Ole Miss,2017,SEC,
Ole Miss,2018,SEC,
Ole Miss,2019,SEC,
Ole Miss,2020,SEC,
Ole Miss,2021,SEC,
Ole Miss,2022,SEC,
Ole Miss,2023,SEC,
Ole Miss,2024,SEC,
Ole Miss,2025,SEC,
Oregon,2014,Pac-12,
Oregon,2015,Pac-12,
Oregon,2016,Pac-12,
Oregon,2017,Pac-12,
Oregon,2018,Pac-12,
Oregon,2019,Pac-12,
Oregon,2020,Pac-12,
Oregon,2021,Pac-12,
Oregon,2022,Pac-12,
Oregon,2023,Pac-12,
Oregon,2024,Big Ten,
Oregon,2025,Big Ten,
Oregon State,2014,Pac-12,
Oregon State,2015,Pac-12,
Oregon State,2016,Pac-12,
Oregon State,2017,Pac-12,
Oregon State,2018,Pac-12,
Oregon State,2019,Pac-12,
Oregon State,2020,Pac-12,
Oregon State,2021,Pac-12,
Oregon State,2022,Pac-12,
Oregon State,2023,Pac-12,
Oregon State,2024,Pac-12,Pac-12 reduced to 2 members 2024-25 -- confirm how you want this labeled
Oregon State,2025,Pac-12,Pac-12 reduced to 2 members 2024-25 -- confirm how you want this labeled
Penn State,2014,Big Ten,
Penn State,2015,Big Ten,
Penn State,2016,Big Ten,
Penn State,2017,Big Ten,
Penn State,2018,Big Ten,
Penn State,2019,Big Ten,
Penn State,2020,Big Ten,
Penn State,2021,Big Ten,
Penn State,2022,Big Ten,
Penn State,2023,Big Ten,
Penn State,2024,Big Ten,
Penn State,2025,Big Ten,
Pittsburgh,2014,ACC,
Pittsburgh,2015,ACC,
Pittsburgh,2016,ACC,
Pittsburgh,2017,ACC,
Pittsburgh,2018,ACC,
Pittsburgh,2019,ACC,
Pittsburgh,2020,ACC,
Pittsburgh,2021,ACC,
Pittsburgh,2022,ACC,
Pittsburgh,2023,ACC,
Pittsburgh,2024,ACC,
Pittsburgh,2025,ACC,
SMU,2014,American,
SMU,2015,American,
SMU,2016,American,
SMU,2017,American,
SMU,2018,American,
SMU,2019,American,
SMU,2020,American,
SMU,2021,American,
SMU,2022,American,
SMU,2023,American,
SMU,2024,ACC,
SMU,2025,ACC,
San Diego State,2014,Mountain West,
San Diego State,2015,Mountain West,
San Diego State,2016,Mountain West,
San Diego State,2017,Mountain West,
San Diego State,2018,Mountain West,
San Diego State,2019,Mountain West,
San Diego State,2020,Mountain West,
San Diego State,2021,Mountain West,
San Diego State,2022,Mountain West,
San Diego State,2023,Mountain West,
San Diego State,2024,Mountain West,
San Diego State,2025,Mountain West,
San Jose State,2014,Mountain West,
San Jose State,2015,Mountain West,
San Jose State,2016,Mountain West,
San Jose State,2017,Mountain West,
San Jose State,2018,Mountain West,
San Jose State,2019,Mountain West,
San Jose State,2020,Mountain West,
San Jose State,2021,Mountain West,
San Jose State,2022,Mountain West,
San Jose State,2023,Mountain West,
San Jose State,2024,Mountain West,
San Jose State,2025,Mountain West,
South Carolina,2014,SEC,
South Carolina,2015,SEC,
South Carolina,2016,SEC,
South Carolina,2017,SEC,
South Carolina,2018,SEC,
South Carolina,2019,SEC,
South Carolina,2020,SEC,
South Carolina,2021,SEC,
South Carolina,2022,SEC,
South Carolina,2023,SEC,
South Carolina,2024,SEC,
South Carolina,2025,SEC,
South Florida,2014,American,
South Florida,2015,American,
South Florida,2016,American,
South Florida,2017,American,
South Florida,2018,American,
South Florida,2019,American,
South Florida,2020,American,
South Florida,2021,American,
South Florida,2022,American,
South Florida,2023,American,
South Florida,2024,American,
South Florida,2025,American,
Stanford,2014,Pac-12,
Stanford,2015,Pac-12,
Stanford,2016,Pac-12,
Stanford,2017,Pac-12,
Stanford,2018,Pac-12,
Stanford,2019,Pac-12,
Stanford,2020,Pac-12,
Stanford,2021,Pac-12,
Stanford,2022,Pac-12,
Stanford,2023,Pac-12,
Stanford,2024,ACC,
Stanford,2025,ACC,
Syracuse,2014,ACC,
Syracuse,2015,ACC,
Syracuse,2016,ACC,
Syracuse,2017,ACC,
Syracuse,2018,ACC,
Syracuse,2019,ACC,
Syracuse,2020,ACC,
Syracuse,2021,ACC,
Syracuse,2022,ACC,
Syracuse,2023,ACC,
Syracuse,2024,ACC,
Syracuse,2025,ACC,
TCU,2014,Big 12,
TCU,2015,Big 12,
TCU,2016,Big 12,
TCU,2017,Big 12,
TCU,2018,Big 12,
TCU,2019,Big 12,
TCU,2020,Big 12,
TCU,2021,Big 12,
TCU,2022,Big 12,
TCU,2023,Big 12,
TCU,2024,Big 12,
TCU,2025,Big 12,
Tennessee,2014,SEC,
Tennessee,2015,SEC,
Tennessee,2016,SEC,
Tennessee,2017,SEC,
Tennessee,2018,SEC,
Tennessee,2019,SEC,
Tennessee,2020,SEC,
Tennessee,2021,SEC,
Tennessee,2022,SEC,
Tennessee,2023,SEC,
Tennessee,2024,SEC,
Tennessee,2025,SEC,
Texas,2014,Big 12,
Texas,2015,Big 12,
Texas,2016,Big 12,
Texas,2017,Big 12,
Texas,2018,Big 12,
Texas,2019,Big 12,
Texas,2020,Big 12,
Texas,2021,Big 12,
Texas,2022,Big 12,
Texas,2023,Big 12,
Texas,2024,SEC,
Texas,2025,SEC,
Texas A&M,2014,SEC,
Texas A&M,2015,SEC,
Texas A&M,2016,SEC,
Texas A&M,2017,SEC,
Texas A&M,2018,SEC,
Texas A&M,2019,SEC,
Texas A&M,2020,SEC,
Texas A&M,2021,SEC,
Texas A&M,2022,SEC,
Texas A&M,2023,SEC,
Texas A&M,2024,SEC,
Texas A&M,2025,SEC,
Texas Tech,2014,Big 12,
Texas Tech,2015,Big 12,
Texas Tech,2016,Big 12,
Texas Tech,2017,Big 12,
Texas Tech,2018,Big 12,
Texas Tech,2019,Big 12,
Texas Tech,2020,Big 12,
Texas Tech,2021,Big 12,
Texas Tech,2022,Big 12,
Texas Tech,2023,Big 12,
Texas Tech,2024,Big 12,
Texas Tech,2025,Big 12,
Troy,2014,Sun Belt,
Troy,2015,Sun Belt,
Troy,2016,Sun Belt,
Troy,2017,Sun Belt,
Troy,2018,Sun Belt,
Troy,2019,Sun Belt,
Troy,2020,Sun Belt,
Troy,2021,Sun Belt,
Troy,2022,Sun Belt,
Troy,2023,Sun Belt,
Troy,2024,Sun Belt,
Troy,2025,Sun Belt,
Tulane,2014,American,
Tulane,2015,American,
Tulane,2016,American,
Tulane,2017,American,
Tulane,2018,American,
Tulane,2019,American,
Tulane,2020,American,
Tulane,2021,American,
Tulane,2022,American,
Tulane,2023,American,
Tulane,2024,American,
Tulane,2025,American,
UCF,2014,American,
UCF,2015,American,
UCF,2016,American,
UCF,2017,American,
UCF,2018,American,
UCF,2019,American,
UCF,2020,American,
UCF,2021,American,
UCF,2022,American,
UCF,2023,Big 12,
UCF,2024,Big 12,
UCF,2025,Big 12,
UCLA,2014,Pac-12,
UCLA,2015,Pac-12,
UCLA,2016,Pac-12,
UCLA,2017,Pac-12,
UCLA,2018,Pac-12,
UCLA,2019,Pac-12,
UCLA,2020,Pac-12,
UCLA,2021,Pac-12,
UCLA,2022,Pac-12,
UCLA,2023,Pac-12,
UCLA,2024,Big Ten,
UCLA,2025,Big Ten,
UNLV,2014,Mountain West,
UNLV,2015,Mountain West,
UNLV,2016,Mountain West,
UNLV,2017,Mountain West,
UNLV,2018,Mountain West,
UNLV,2019,Mountain West,
UNLV,2020,Mountain West,
UNLV,2021,Mountain West,
UNLV,2022,Mountain West,
UNLV,2023,Mountain West,
UNLV,2024,Mountain West,
UNLV,2025,Mountain West,
USC,2014,Pac-12,
USC,2015,Pac-12,
USC,2016,Pac-12,
USC,2017,Pac-12,
USC,2018,Pac-12,
USC,2019,Pac-12,
USC,2020,Pac-12,
USC,2021,Pac-12,
USC,2022,Pac-12,
USC,2023,Pac-12,
USC,2024,Big Ten,
USC,2025,Big Ten,
Utah,2014,Pac-12,
Utah,2015,Pac-12,
Utah,2016,Pac-12,
Utah,2017,Pac-12,
Utah,2018,Pac-12,
Utah,2019,Pac-12,
Utah,2020,Pac-12,
Utah,2021,Pac-12,
Utah,2022,Pac-12,
Utah,2023,Pac-12,
Utah,2024,Big 12,
Utah,2025,Big 12,
Utah State,2014,Mountain West,
Utah State,2015,Mountain West,
Utah State,2016,Mountain West,
Utah State,2017,Mountain West,
Utah State,2018,Mountain West,
Utah State,2019,Mountain West,
Utah State,2020,Mountain West,
Utah State,2021,Mountain West,
Utah State,2022,Mountain West,
Utah State,2023,Mountain West,
Utah State,2024,Mountain West,
Utah State,2025,Mountain West,
Vanderbilt,2014,SEC,
Vanderbilt,2015,SEC,
Vanderbilt,2016,SEC,
Vanderbilt,2017,SEC,
Vanderbilt,2018,SEC,
Vanderbilt,2019,SEC,
Vanderbilt,2020,SEC,
Vanderbilt,2021,SEC,
Vanderbilt,2022,SEC,
Vanderbilt,2023,SEC,
Vanderbilt,2024,SEC,
Vanderbilt,2025,SEC,
Virginia,2014,ACC,
Virginia,2015,ACC,
Virginia,2016,ACC,
Virginia,2017,ACC,
Virginia,2018,ACC,
